request_id,created_at,updated_at,status,status_notes,resolution_notes,after_action_url,police_district,lat,lon,has_photo,image_urls,image_paths,image_checksums,image_fetch_status,text,desc_len,kw_inject,kw_needle,kw_blocking,kw_children,kw_onramp,kw_propane,kw_fire,kw_duplicate,kw_unable_to_locate,kw_private_property,kw_wheelchair,kw_passed_out,tag_safety_issue,tag_drugs,tag_person_position,tag_lying_face_down,tag_tents_present,tag_size_feet,tag_num_people,derived_is_private_property,hours_to_resolution
101002555701,2025-09-04T22:37:50+00:00,2025-09-05T13:48:58+00:00,closed,Case Resolved.,,,NORTHERN,37.77762504,-122.41780958,True,['https://d2rrrzgumh0cu9.cloudfront.net/270f2978-a4e0-4284-a44e-b06fa794e01d.jpeg'],['data/images/101002555701/00_270f2978-a4e0-4284-a44e-b06fa794e01d.jpeg'],['5c12c93412960d1111aa91c9d4d3db5e0b7dcc215b17df96494e07b2416bf121'],['ok'],"There is a person bending over with many belongings on the sidewalk, including bikes, bags, and cardboard. Items spread around the green utility boxes and a blue bin. Reported with Solve SF.",190,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bent_over,False,False,80.0,1.0,False,15.19
101002555824,2025-09-04T22:52:36+00:00,2025-09-05T17:37:08+00:00,closed,Case Resolved.,,,SOUTHERN,37.77888809,-122.40708022,True,"['https://spot-sf-res.cloudinary.com/image/upload/v1757026354/san-francisco/production/gpnkkfstxetcuztj8swp.jpg', 'https://spot-sf-res.cloudinary.com/image/upload/v1757026355/san-francisco/production/zw2ital7t6ghtovsnbdw.jpg']","['data/images/101002555824/00_gpnkkfstxetcuztj8swp.jpg', 'data/images/101002555824/01_zw2ital7t6ghtovsnbdw.jpg']","['377197212288c9f005418d17cc65417b30c94de2ceefe60f89305425fbb78916', 'f38ce9be2613dbe170ecff73662ec01bac8d31ed1a3dfce4e7e9bcbfc593dd28']","['ok', 'ok']",Homeless person setting up encampment on Harriet Street as of this afternoon.,77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,sitting_on_sidewalk,False,False,24.0,1.0,False,18.74
101002555850,2025-09-04T22:56:16+00:00,2025-09-05T16:00:01+00:00,closed,Case Resolved.,,,MISSION,37.76032762,-122.41986705,False,,,,,"The building has scaffolding up due to some work being done, people has created an encampment within the scaffolding.",117,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unknown,False,False,0.0,0.0,False,17.06
101002555853,2025-09-04T22:56:51+00:00,2025-09-05T13:58:41+00:00,closed,Case Resolved.,,,NORTHERN,37.7844269,-122.41996747,True,['https://spot-sf-res.cloudinary.com/image/upload/v1757026610/san-francisco/production/jcmkvfnrijgby5bcklzu.jpg'],['data/images/101002555853/00_jcmkvfnrijgby5bcklzu.jpg'],['798d3da4431533bd35c6617b42585145056a30da5f7d4678129e43477f68e806'],['ok'],,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,standing,False,False,0.0,1.0,False,15.03
101002555884,2025-09-04T23:02:33+00:00,2025-09-04T23:02:33+00:00,open,,,,NORTHERN,37.80372705177,-122.428400439619,False,,,,,Encampment on the sidewalk of bay fort mason side.,50,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unknown,False,False,0.0,0.0,False,0.0
101002555906,2025-09-04T23:05:05+00:00,2025-09-05T17:19:36+00:00,closed,Case Resolved. Relocated.,,,SOUTHERN,37.78033696,-122.40628362,True,"['https://spot-sf-res.cloudinary.com/image/upload/v1757027104/san-francisco/production/hgxqbm4cap00ejnv2f1j.jpg', 'https://spot-sf-res.cloudinary.com/image/upload/v1757092776/san-francisco/production/zbtfftfhhpd8ahilzn3r.jpg', 'https://spot-sf-res.cloudinary.com/image/upload/v1757092777/san-francisco/production/adnov69qj5vedfv7z6nf.jpg', 'https://spot-sf-res.cloudinary.com/image/upload/v1757092778/san-francisco/production/iwklp5effksni3ainyku.jpg']","['data/images/101002555906/00_hgxqbm4cap00ejnv2f1j.jpg', 'data/images/101002555906/01_zbtfftfhhpd8ahilzn3r.jpg', 'data/images/101002555906/02_adnov69qj5vedfv7z6nf.jpg', 'data/images/101002555906/03_iwklp5effksni3ainyku.jpg']","['f74ec4da1be5ab0a14f700670492e579849278c51e8cd4f21824985760c11901', '16e9fae33a9e0909f6634baa1b49f569e6f034735c73b1a9219981b13e26223c', '81b453860e15c61af0daa02a592ea24684b17b7f813ba053a1fe2d7559a06cb3', 'b7b052fb98cb48d7ce9efb42f3138e0d7232ed64a4bc57a16bd1a474bb0d1598']","['ok', 'ok', 'ok', 'ok']",919 (This is a police code added by 311 which means person sitting/lying on a sidewalk) - Homeless people sleeping on the street! cad 252481100,143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,lying_down_unnatural,True,False,40.0,2.0,False,18.24
101002555918,2025-09-04T23:07:24+00:00,2025-09-04T23:07:24+00:00,open,,,,SOUTHERN,37.77886326,-122.40705247,True,"['https://spot-sf-res.cloudinary.com/image/upload/v1757027242/san-francisco/production/bsdetm6s4jegwenwu8w7.jpg', 'https://spot-sf-res.cloudinary.com/image/upload/v1757027243/san-francisco/production/dqxcjqhrvnbvobd2a36g.jpg']","['data/images/101002555918/00_bsdetm6s4jegwenwu8w7.jpg', 'data/images/101002555918/01_dqxcjqhrvnbvobd2a36g.jpg']","['009cb8dcc6dfddad11fa70be9911032a3fc6da8c2aa1017dd61fc1039d57259d', '9df4a544115a71c378e0c54ee29c783ca617a5de7a1eeae98c376ff2ec77ca4d']","['ok', 'ok']",Homeless person has a buddy and they are now getting ready to consume / inject drugs. Please send help.,103,True,False,False,False,False,False,False,False,False,False,False,False,True,True,bent_over,False,False,30.0,2.0,False,0.0
101002556071,2025-09-04T23:31:47+00:00,2025-09-05T12:51:17+00:00,closed,Case Resolved.,,,SOUTHERN,37.77918173,-122.40732598,True,['https://d2rrrzgumh0cu9.cloudfront.net/431abdeb-2288-436a-a658-35c229a1150e.jpeg'],['data/images/101002556071/00_431abdeb-2288-436a-a658-35c229a1150e.jpeg'],['f0d4f1a74cf8c91cea85b4a264f8025a2620aba923a095f77183d3767f2b1d04'],['ok'],There is a person behind belongings on the sidewalk with a large pile of bags and bedding. Wheelchair left at the curb next to parked cars. Reported with Solve SF.,163,False,False,False,False,False,False,False,False,False,False,True,False,False,False,unknown,False,False,18.0,1.0,False,13.32
101002556081,2025-09-04T23:33:47+00:00,2025-09-04T23:33:47+00:00,open,,,,MISSION,37.76239765,-122.4131103,True,['https://d2rrrzgumh0cu9.cloudfront.net/2d8685b8-116a-4ac9-8902-92c7f0c3660d.jpeg'],['data/images/101002556081/00_2d8685b8-116a-4ac9-8902-92c7f0c3660d.jpeg'],['845c47b330f60a7eba6b80b95d3d7a9e3daffbe59a0e7a74c02c8afe1a0b73db'],['ok'],"There is a makeshift structure set up on the sidewalk against the white building; lodging violation. Person inside/behind belongings with bags, blankets, and bins. Reported with Solve SF.",187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unknown,False,True,20.0,1.0,False,0.0
101002556116,2025-09-04T23:38:23+00:00,2025-09-04T23:38:23+00:00,open,,,,MISSION,37.7634962866592,-122.418483896784,False,,,,,"New encampment being set up on Capp at 17th. Blocked sidewalk forcing pedestrians; mothers with strollers, into the street.",123,False,False,False,False,False,False,False,False,False,False,False,False,True,False,unknown,False,False,0.0,0.0,False,0.0
